"Depth" "XCO2Dpp" "XCH4Dpp" "TempC" "SPCuScm" "ChlARFU" "ChlAugL" "BGAPCRFU" "BGAPCgL" "TurbFNU" "fDOMRFU" "fDOMQSU" "ODOsat" "ODOmgL" "pH" "Pressps" "NITRATEU" "NITRATEM" "ABS254" "ABS350" "TINT" "TSPEC" "TLAMP" "XCO2Dppm_h" "XCO2Dppm_t" "XCH4Dppm_h" "XCH4Dppm_t" "TmpC_hy" "TempC_t" "SPCScm_h" "SPCScm_t" "ChlARFU_h" "ChlARFU_t" "ChlAgL_h" "ChlAgL_t" "BGAPCRFU_h" "BGAPCRFU_t" "BGAPCgL_h" "BGAPCgL_t" "TrbFNU_h" "TrbFNU_t" "fDOMRFU_h" "fDOMRFU_t" "fDOMQSU_h" "fDOMQSU_t" "ODOst_h" "ODOst_t" "ODOmgL_h" "ODOmgL_t" "pH_hyd" "pH_tau" "CH4uM" "CH4Sat" "CH4M_hy" "CH4St_h" "CH4uM_t" "CH4St_t" "CO2uM" "CO2Sat" "CO2M_hy" "CO2St_h" "CO2uM_t" "CO2St_t" "Date" "Statistic"
"1" NA 246.6 6.159 5.144 489.3 1.229 3.932 0.3645 0.3719 1.605 6.598 19.76 116 14.61 8.501 1.387 43.29 0.6012 0.06003 -0.01997 12.41 13.91 13.91 247.6 249.5 6.427 1.93 5.118 5.131 488.5 489 1.081 1.096 4.463 4.089 0.356 0.3708 0.3684 0.3782 1.704 1.37 6.595 6.467 19.67 19.9 115.6 115.3 14.7 14.66 8.501 8.495 0.01332 339.8 0.01314 327.5 0.005484 48.9 15.43 61.68 15.38 60.95 14.79 56.17 2016-03-29 "Min"
"2" NA 289.6 10.56 5.485 502.8 2.321 9.367 0.7021 0.7158 2.944 7.309 21.82 119.3 15.04 8.66 1.548 48.41 0.6768 0.07157 -0.01459 13.11 14.68 14.38 292.3 289.8 10.8 14.05 5.482 5.489 502.8 502.7 2.324 2.328 9.384 9.397 0.7015 0.704 0.7169 0.7161 2.867 2.84 7.318 7.303 21.77 21.86 119.6 119.5 15.04 15.03 8.658 8.656 0.0228 565.7 0.02307 555.4 0.0286 857.3 18.66 72.3 18.65 72.86 18.54 72.27 2016-03-29 "Q25"
"3" NA 299.8 12.22 5.599 506.7 2.578 10.38 0.7584 0.7747 3.637 7.469 22.3 120.7 15.18 8.675 1.591 50.18 0.6978 0.07292 -0.01242 13.35 15.01 14.68 302.5 301.3 12.46 17.7 5.599 5.625 506.7 506 2.578 2.562 10.41 10.34 0.7608 0.7604 0.7728 0.7746 3.559 3.524 7.47 7.474 22.25 22.32 120.8 121 15.18 15.16 8.678 8.677 0.02669 659 0.02693 634.9 0.03486 1124 19.34 74.75 19.31 75.57 19.34 74.66 2016-03-29 "Median"
"4" NA 300.6 14.05 5.793 509.1 2.498 10.08 0.7387 0.7525 3.752 7.633 22.78 121.6 15.22 8.684 1.585 55.01 0.7353 0.07472 -0.01184 13.5 15.12 14.75 303.4 303.5 14.18 24.04 5.783 5.799 509.5 508.5 2.503 2.498 10.16 10.11 0.739 0.74 0.7539 0.7565 3.712 3.674 7.609 7.615 22.68 22.74 121.8 121.7 15.21 15.21 8.685 8.684 0.03073 751.7 0.03087 741.1 0.04511 1402 19.54 75.1 19.38 76.27 19.33 74.7 2016-03-29 "Mean"
"5" NA 306.4 14.39 5.85 510.9 2.724 11.01 0.7989 0.8117 4.498 7.669 22.77 122.9 15.35 8.704 1.637 53.65 0.7193 0.07519 -0.01052 13.76 15.56 15.06 309.1 309.8 14.49 25.67 5.819 5.836 511.4 510.2 2.737 2.722 11.07 11.08 0.7948 0.797 0.8136 0.8158 4.521 4.398 7.609 7.631 22.73 22.73 123.2 123.1 15.34 15.34 8.706 8.706 0.03173 777.6 0.03224 750.8 0.04779 1465 19.99 76.51 19.93 77.53 19.95 76.38 2016-03-29 "Q75"
"6" NA 600.1 91.92 8.986 660.5 3.631 15.38 0.9814 0.9985 9.597 17.41 52.2 132.2 15.99 8.818 1.721 238.4 3.404 0.1538 0.03083 16.01 18.39 16.52 577.8 610.2 90.03 339.8 9.053 9.02 660.6 657.8 3.746 3.716 15.32 14.39 0.9734 0.9706 0.9954 0.9967 10.25 8.997 17.63 17.22 50.45 51.34 132.2 132.4 15.95 15.95 8.807 8.807 0.1642 4785 0.181 4726 0.511 13640 36.59 145.6 33.94 149.1 34.07 151.7 2016-03-29 "Max"
"7" NA 27.3358980444294 7.66842321777055 0.567594279431475 14.96577576592 0.370665876432494 1.50911862967971 0.0943687820466143 0.0953745617957448 1.05875729900603 0.871723985368479 2.75026313753761 3.14867484939527 0.223901729752799 0.0386339499414645 0.0636627921003263 19.2467207884734 0.212007707743161 0.00794980611297178 0.00562297872855934 0.608502369974546 0.680244942576635 0.458796090932049 27.3950947621289 31.0242743407645 7.82836087553276 25.849278819153 0.57564286927937 0.576775443666723 15.893693567746 14.65268235501 0.37057346318369 0.369001464755394 1.56732947411316 1.51604220136425 0.0917726337927813 0.0918832949926845 0.0937876365288307 0.0932292929441968 1.10060421045926 1.08985183056237 0.880784320269039 0.884913517969777 2.53802246107588 2.60134264182419 3.11236012391266 3.12269583009309 0.222595931499688 0.226065775343312 0.0394230711468253 0.0404265015741599 0.0168344769937802 403.200182025879 0.0162553918254987 414.912957142887 0.0417954262769344 1238.32208640392 2.0644927164688 6.75348785932019 1.5691521541703 8.15165417941006 1.55074275132265 6.6596125009807 2016-03-29 "sd"
"8" NA 269.760561776705 8.80559790091703 5.33904292666071 496.018128085846 1.75379344672274 7.1109303615002 0.536487252260236 0.550349756865267 2.26281206322417 7.14041219673755 21.3517510922301 118.148800842042 14.9232875744313 8.63511126760311 1.47081971047824 46.5604657183281 0.643112466037378 0.0686093610800557 -0.0183326677838899 12.7658132357553 14.1316265084979 14.1729197056175 273.585597393334 270.554911399314 8.78940124824565 8.78141479769196 5.34315637733351 5.32288878768398 495.40797238231 496.063492514974 1.76704929311396 1.77308761971465 7.22141603180735 7.15252257375468 0.542887917341007 0.542707668242913 0.556037809194823 0.555596486584981 2.2108863365965 2.22316585429537 7.13684093439608 7.12802262690199 21.2932709961311 21.3284839259332 118.260825319489 118.147746416723 14.9097335589724 14.9138837255226 8.63712625975672 8.63543049727677 0.0187075259387118 471.538038669757 0.0192090783350586 465.359512690541 0.0194027457927971 516.347767630646 17.2553259634054 67.7841781627105 17.2690789272 67.9378737300972 17.1732028395312 67.3776471362403 2016-03-29 "Q05"
"9" NA 277.091353937223 9.28113504098077 5.40383947862797 498.828728383651 1.95679160525759 7.89960637679155 0.591203537882921 0.608567650749414 2.49833680251239 7.21286007896567 21.5405848713363 118.629618544777 14.9693246342775 8.64611858733759 1.48633633405486 47.1587013557964 0.656471388570113 0.0702151687766339 -0.0172001986638723 12.9204861318372 14.3471625801476 14.242626296523 281.38038247855 278.586239403164 9.55272655374642 10.4135153524965 5.39447320459086 5.38557001436316 498.627739201279 498.662615182965 1.96939326135382 1.96441012698075 7.9736216684553 7.90333880691845 0.606428058612481 0.609871832105431 0.615973210634565 0.626421511793281 2.46402916777417 2.46839054133352 7.20999832916601 7.19542080269322 21.4883200559977 21.5630627910285 118.765827297506 118.714976921418 14.9709970966545 14.9615127333746 8.64500181254045 8.64254030224462 0.0198105580397151 501.347608336998 0.0203477725507482 492.722996625186 0.0232255555809687 634.359370054179 17.6163638758254 69.8103288537721 17.7248239766954 69.6312865155955 17.6495884149336 69.1367466078009 2016-03-29 "Q10"
"10" NA 312.550338644808 18.8213887190362 6.4153522876737 518.365116610503 2.86256006160253 11.6080749579713 0.830826322958456 0.847799199144753 5.0557151619758 7.90796053471424 23.4738985174198 126.844190263661 15.5583712399168 8.74259933708084 1.65974729831777 63.7405973045811 0.78239809615178 0.0803327703724445 -0.00776434376285445 14.3451762128131 15.9464151504689 15.3657540898956 314.369013798236 319.513084901952 17.8752524544928 36.6763920889012 6.38224528854245 6.40696925163587 518.319772941354 517.219808758702 2.88024384981909 2.88288861074752 11.726691746232 11.7048261960974 0.825721321652282 0.831103929303447 0.849290654060082 0.848685018563048 5.02800180221456 5.03228499653315 7.80523346723195 7.85181164009995 23.408750235105 23.4167274520643 126.888763342886 126.472115696075 15.5531372213694 15.5577364021102 8.74413632762187 8.74401339413902 0.0419429388771487 941.042648098013 0.0414474691105888 1012.87428010271 0.0648434061642466 2172.82036563924 20.6515795432018 77.8088576948824 20.433239880952 80.149738218745 20.5469233059963 77.7699249812074 2016-03-29 "Q90"
"11" NA 329.227812555955 25.9764032751479 6.91027658481453 528.102591202381 3.01059591722629 12.1510567195144 0.853701332346066 0.868539836523528 5.46799803794186 8.42558983529956 25.0101370603954 128.356182507412 15.6304039051745 8.76012809182106 1.6732096809811 74.7018766574806 0.895455699820132 0.0867948339480686 -0.00398010700181906 14.8129096254064 16.2061022970288 15.6233658812304 333.561144974432 336.686742287937 25.1320097902421 52.0526161768644 6.99395281635088 6.98549690802692 527.215208892243 524.904581899858 2.99802142249125 2.99261658062377 12.4446019198199 12.2923350024095 0.846220407377171 0.857095748196571 0.870371209433926 0.870300740558066 5.48625802978533 5.51583450358445 8.19946176286616 8.21120097128353 24.7810847168874 24.8202217969732 128.331631756281 128.383005095649 15.6352771133141 15.6259798329882 8.76230380439059 8.76200117776396 0.0612650669315607 1444.12622805451 0.0563897445186377 1410.35238378917 0.0881294620507964 3041.68229452011 22.386016599312 82.1142279941137 21.4996177553683 87.3304987787748 21.2670569308087 79.7946766967413 2016-03-29 "Q95"
"12" 0.9948 288.1 16.16 5.196 440.9 0.577 2.713 0.351 0.3587 1.098 7.188 21.91 99.94 12.63 8.585 1.409 47.77 0.68 0.03029 -0.0477 11.4 12.8 13.22 287.4 269.1 18.47 3.416 5.261 5.263 456.7 450.7 0.6727 0.5209 2.434 2.58 0.356 0.3081 0.3718 0.3868 0.97 0.9545 7.375 7.281 21.95 21.63 100.2 100.4 12.67 12.71 8.591 8.605 0.039 828 0.03679 1049 0.01667 343.2 18.27 72.12 18.28 72.06 17.14 68.24 2016-04-12 "Min"
