"Time","X.CH4._ppm","X.CH4._ppm_se","X.H2O._ppm","X.H2O._ppm_se","X.CO2._ppm","X.CO2._ppm_se","GasP_torr","GasP_torr_se","GasT_C","GasT_C_se","AmbT_C","AmbT_C_se","RD0_us","RD0_us_se","RD1_us","RD1_us_se","Fit_Flag","Time_raw"
"    05/18/16 17:45:01.300",193.786,0,16683,0,438.667,0,140.916,0,22.174,0,197.055,0,5.56125,0,5.05211,0,3,2016-05-18 17:45:01
"    05/18/16 17:45:02.287",194.098,0,16412.6,0,438.995,0,140.846,0,22.1792,0,197.005,0,5.55798,0,5.05499,0,3,2016-05-18 17:45:02
"    05/18/16 17:45:03.267",193.076,0,16712.3,0,439.179,0,140.902,0,22.1786,0,197.026,0,5.59217,0,5.05777,0,3,2016-05-18 17:45:03
"    05/18/16 17:45:04.251",196.309,0,17033.4,0,433.365,0,140.95,0,22.1772,0,197.02,0,5.50773,0,5.12724,0,3,2016-05-18 17:45:04
"    05/18/16 17:45:05.230",195.111,0,16846.4,0,440.052,0,140.9,0,22.1771,0,196.994,0,5.53938,0,5.0614,0,3,2016-05-18 17:45:05
"    05/18/16 17:45:06.214",193.839,0,15655.6,0,440.487,0,140.872,0,22.1778,0,197.026,0,5.57704,0,5.04598,0,3,2016-05-18 17:45:06
"    05/18/16 17:45:07.196",195.447,0,16480.1,0,440.296,0,140.867,0,22.1758,0,197.041,0,5.54124,0,5.06218,0,3,2016-05-18 17:45:07
"    05/18/16 17:45:08.179",194.304,0,16410.2,0,436.555,0,140.912,0,22.1779,0,197.025,0,5.56634,0,5.10082,0,3,2016-05-18 17:45:08
"    05/18/16 17:45:09.162",195.115,0,16353.9,0,441.541,0,140.953,0,22.1777,0,197.012,0,5.55445,0,5.05832,0,3,2016-05-18 17:45:09
"    05/18/16 17:45:10.145",198.013,0,16606.4,0,437.833,0,140.862,0,22.1759,0,197.038,0,5.48269,0,5.10277,0,3,2016-05-18 17:45:10
"    05/18/16 17:45:11.129",194.163,0,15905.5,0,440.521,0,140.924,0,22.1758,0,197.063,0,5.59279,0,5.07179,0,3,2016-05-18 17:45:11
