year4,sampledate,month,daynum,hour,avg_air_temp,flag_avg_air_temp,avg_rel_hum,flag_avg_rel_hum,avg_wind_speed,flag_avg_wind_speed,avg_wind_dir,flag_avg_wind_dir,avg_chlor,flag_chlor,avg_phycocyanin,flag_phycocyanin,avg_par,flag_par,avg_par_below,flag_par_below,avg_opt_wtemp,flag_avg_opt_wtemp,avg_opt_dosat_raw,flag_avg_opt_dosat_raw,avg_opt_do_raw,flag_avg_opt_do_raw
2016,"2016-03-21 00:00:00",3,81,0,,C,,C,,C,,C,492.10,,-886.02,H,,C,,C,,C,0.00,H,0.00,H
2016,"2016-03-21 00:00:00",3,81,100,,C,,C,,C,,C,492.45,,-828.35,H,,C,,C,,C,0.00,H,0.00,H
2016,"2016-03-21 00:00:00",3,81,200,,C,,C,,C,,C,487.62,,-785.14,H,,C,,C,,C,0.00,H,0.00,H
2016,"2016-03-21 00:00:00",3,81,300,,C,,C,,C,,C,463.12,,-731.05,H,,C,,C,,C,0.00,H,0.00,H
2016,"2016-03-21 00:00:00",3,81,400,,C,,C,,C,,C,439.92,,-679.60,H,,C,,C,,C,0.00,H,0.00,H
2016,"2016-03-21 00:00:00",3,81,500,,C,,C,,C,,C,434.87,,-642.22,H,,C,,C,,C,0.00,H,0.00,H
2016,"2016-03-21 00:00:00",3,81,600,,C,,C,,C,,C,430.17,,-587.85,H,,C,,C,,C,0.00,H,0.00,H
2016,"2016-03-21 00:00:00",3,81,700,,C,,C,,C,,C,425.45,,-588.66,H,,C,,C,,C,0.00,H,0.00,H
2016,"2016-03-21 00:00:00",3,81,800,,C,,C,,C,,C,431.35,,-672.71,H,,C,,C,,C,0.00,H,0.00,H
2016,"2016-03-21 00:00:00",3,81,900,,C,,C,,C,,C,488.80,,-797.95,H,,C,,C,,C,0.00,H,0.00,H
2016,"2016-03-21 00:00:00",3,81,1000,,C,,C,,C,,C,636.93,,-749.44,H,,C,,C,,C,0.00,H,0.00,H
2016,"2016-03-21 00:00:00",3,81,1100,,C,,C,,C,,C,1091.88,,-1114.46,H,,C,,C,,C,0.00,H,0.00,H
2016,"2016-03-21 00:00:00",3,81,1200,,C,,C,,C,,C,1557.47,,-1412.33,H,,C,,C,,C,0.00,H,0.00,H
2016,"2016-03-21 00:00:00",3,81,1300,,C,,C,,C,,C,1460.18,,-1627.37,H,,C,,C,,C,0.00,H,0.00,H
2016,"2016-03-21 00:00:00",3,81,1400,9.99,,33.40,,0.02,,250.42,,1715.19,,3669.66,H,211.88,,0.06,,,C,0.00,H,0.00,H
2016,"2016-03-21 00:00:00",3,81,1500,7.79,,41.76,,2.65,,139.04,,2202.10,,4786.83,,1038.08,,4.96,,,C,0.00,H,0.00,H
2016,"2016-03-21 00:00:00",3,81,1600,7.15,,47.65,,4.03,,229.36,,4162.00,,1854.77,,595.78,,94.45,,4.55,C,80.07,H,10.34,H
2016,"2016-03-21 00:00:00",3,81,1700,7.16,,50.64,,4.51,,215.05,,,C,1182.33,,292.43,,92.63,,4.35,H,114.17,,14.83,
2016,"2016-03-21 00:00:00",3,81,1800,7.11,,53.39,,4.43,,204.57,,,C,1153.42,,115.54,,36.32,,4.33,H,113.13,,14.70,
2016,"2016-03-21 00:00:00",3,81,1900,6.78,,55.55,,4.23,,179.59,,,C,1156.47,,4.28,,1.70,,4.30,H,111.85,,14.55,
2016,"2016-03-21 00:00:00",3,81,2000,6.36,,58.56,,3.99,,179.16,,,C,1168.98,,0.29,,0.40,,4.29,,111.15,,14.46,
2016,"2016-03-21 00:00:00",3,81,2100,5.89,,62.46,,3.84,,170.36,,,C,1175.82,,0.46,C,0.41,,4.27,,110.57,,14.39,
2016,"2016-03-21 00:00:00",3,81,2200,5.61,,64.72,,4.36,,161.54,,,C,1168.32,,0.11,,0.17,,4.27,,110.10,,14.33,
2016,"2016-03-21 00:00:00",3,81,2300,5.23,,65.49,,4.82,,171.34,,,C,1165.57,,0.28,,0.28,,4.26,,109.67,,14.28,
2016,"2016-03-22 00:00:00",3,82,0,4.99,,64.32,,5.21,,179.53,,,C,1171.72,,0.14,,0.17,,4.25,,109.36,,14.24,
2016,"2016-03-22 00:00:00",3,82,100,4.78,,68.86,,4.29,,166.23,,,C,1157.30,,0.14,,0.09,,4.24,,109.04,,14.20,
2016,"2016-03-22 00:00:00",3,82,200,5.35,,64.29,,4.04,,177.31,,,C,1162.92,,0.06,,0.17,,4.23,,108.59,,14.15,
2016,"2016-03-22 00:00:00",3,82,300,6.05,,61.33,,5.21,,194.92,,,C,1136.40,,0.09,,0.11,,4.22,,108.18,,14.10,
2016,"2016-03-22 00:00:00",3,82,400,5.57,,64.43,,4.61,,207.43,,,C,1116.67,,0.09,,0.09,,4.21,,107.80,,14.05,
