sampledate,year4,month,daynum,depth,wtemp,flag_wtemp
2016-03-20,2016,3,80,0.00,,C
2016-03-20,2016,3,80,0.50,,C
2016-03-20,2016,3,80,1.00,,C
2016-03-20,2016,3,80,1.50,,C
2016-03-20,2016,3,80,2.00,,C
2016-03-20,2016,3,80,3.00,,C
2016-03-20,2016,3,80,4.00,,C
2016-03-20,2016,3,80,5.00,,C
2016-03-20,2016,3,80,6.00,,C
2016-03-20,2016,3,80,7.00,,C
2016-03-20,2016,3,80,8.00,,C
2016-03-20,2016,3,80,9.00,,C
2016-03-20,2016,3,80,10.00,,C
2016-03-20,2016,3,80,11.00,,C
2016-03-20,2016,3,80,12.00,,C
2016-03-20,2016,3,80,13.00,,C
2016-03-20,2016,3,80,14.00,,C
2016-03-20,2016,3,80,15.00,,C
2016-03-20,2016,3,80,16.00,,C
2016-03-20,2016,3,80,17.00,,C
2016-03-20,2016,3,80,18.00,,C
2016-03-20,2016,3,80,19.00,,C
2016-03-20,2016,3,80,20.00,,C
2016-03-21,2016,3,81,0.00,,C
2016-03-21,2016,3,81,0.50,,C
2016-03-21,2016,3,81,1.00,,C
2016-03-21,2016,3,81,1.50,,C
2016-03-21,2016,3,81,2.00,,C
2016-03-21,2016,3,81,3.00,,C
2016-03-21,2016,3,81,4.00,,C
2016-03-21,2016,3,81,5.00,,C
2016-03-21,2016,3,81,6.00,,C
2016-03-21,2016,3,81,7.00,,C
2016-03-21,2016,3,81,8.00,,C
2016-03-21,2016,3,81,9.00,,C
2016-03-21,2016,3,81,10.00,,C
2016-03-21,2016,3,81,11.00,,C
2016-03-21,2016,3,81,12.00,,C
2016-03-21,2016,3,81,13.00,,C
2016-03-21,2016,3,81,14.00,,C
2016-03-21,2016,3,81,15.00,,C
2016-03-21,2016,3,81,16.00,,C
2016-03-21,2016,3,81,17.00,,C
2016-03-21,2016,3,81,18.00,,C
2016-03-21,2016,3,81,19.00,,C
2016-03-21,2016,3,81,20.00,,C
2016-03-22,2016,3,82,0.00,,C
2016-03-22,2016,3,82,0.50,,C
2016-03-22,2016,3,82,1.00,,C
2016-03-22,2016,3,82,1.50,,C
2016-03-22,2016,3,82,2.00,,C
2016-03-22,2016,3,82,3.00,,C
2016-03-22,2016,3,82,4.00,,C
2016-03-22,2016,3,82,5.00,,C
2016-03-22,2016,3,82,6.00,,C
2016-03-22,2016,3,82,7.00,,C
2016-03-22,2016,3,82,8.00,,C
2016-03-22,2016,3,82,9.00,,C
2016-03-22,2016,3,82,10.00,,C
2016-03-22,2016,3,82,11.00,,C
2016-03-22,2016,3,82,12.00,,C
2016-03-22,2016,3,82,13.00,,C
2016-03-22,2016,3,82,14.00,,C
2016-03-22,2016,3,82,15.00,,C
